Nb,Input,Output
126700,230074,79525
126800,230475,79624
126900,230889,79734
127000,231281,79831
127100,231649,79916
127200,232018,80013
127300,232432,80118
127400,232844,80229
127500,233241,80319
127600,233643,80420
127700,234051,80519
127800,234435,80612
127900,234786,80703
128000,235224,80821
128100,235638,80930
128200,236025,81022
128300,236414,81115
128400,236801,81221
128500,237198,81317
128600,237614,81436
128700,237990,81532
128800,238371,81627
128900,238799,81737
129000,239165,81828
129100,239578,81932
129200,239977,82028
129300,240360,82134
129400,240750,82234
129500,241133,82327
129600,241544,82431
129700,241908,82526
129800,242318,82634
129900,242766,82753
130000,243180,82856
130100,243586,82944
130200,244007,83055
130300,244410,83153
130400,244807,83247
130500,245200,83345
130600,245587,83451
130700,246011,83551
130800,246372,83651
130900,246786,83753
131000,247192,83854
131100,247590,83947
131200,247988,84043
131300,248390,84154
131400,248843,84266
131500,249292,84367
131600,249724,84462
131700,250144,84557
131800,250558,84655
131900,250973,84757
132000,251383,84853
132100,251786,84948
132200,252226,85058
132300,252636,85165
132400,253057,85262
132500,253486,85356
132600,253878,85454
132700,254255,85540
132800,254673,85649
132900,255076,85755
133000,255453,85850
133100,255843,85952
133200,256271,86052
133300,256688,86156
133400,257064,86240
133500,257463,86339
133600,257859,86440
133700,258246,86529
133800,258680,86644
133900,259106,86750
134000,259525,86851
134100,259933,86955
134200,260348,87060
134300,260753,87157
134400,261189,87272
134500,261591,87369
134600,261976,87467
134700,262417,87584
134800,262823,87678
134900,263217,87772
135000,263662,87880
135100,264065,87985
135200,264496,88081
135300,264920,88183
135400,265326,88278
135500,265688,88375
135600,266079,88479
135700,266511,88590
135800,266934,88692
135900,267331,88789
136000,267733,88883
136100,268155,88992
136200,268534,89080
136300,268956,89185
136400,269332,89282
136500,269735,89382
136600,270149,89488
136700,270557,89593
136800,270993,89696
136900,271392,89798
137000,271788,89892
137100,272209,89994
137200,272661,90103
137300,273057,90198
137400,273485,90297
137500,273896,90400
137600,274324,90509
137700,274762,90614
137800,275175,90706
137900,275629,90815
138000,276045,90916
138100,276479,91018
138200,276875,91112
138300,277289,91212
138400,277723,91319
138500,278117,91410
138600,278522,91501
138700,278941,91603
138800,279378,91713
138900,279776,91810
139000,280203,91909
139100,280634,92019
139200,281087,92123
139300,281510,92216
139400,281960,92332
139500,282358,92420
139600,282764,92517
139700,283181,92625
139800,283618,92730
139900,284054,92832
140000,284489,92929
140100,284963,93035
140200,285391,93138
140300,285838,93237
140400,286291,93337
140500,286734,93429
140600,287146,93534
140700,287557,93621
140800,288014,93728
140900,288471,93845
141000,288891,93929
141100,289337,94032
141200,289782,94135
141300,290207,94230
141400,290638,94335
141500,291065,94424
141600,291512,94536
141700,291955,94636
141800,292389,94733
141900,292837,94838
142000,293247,94935
142100,293730,95042
142200,294158,95144
142300,294580,95237
142400,295034,95346
142500,295437,95442
142600,295856,95539
142700,296272,95636
142800,296674,95733
142900,297100,95837
143000,297575,95954
143100,298044,96059
143200,298455,96148
143300,298889,96249
143400,299350,96369
143500,299809,96473
143600,300241,96568
143700,300647,96655
143800,301075,96760
143900,301498,96866
144000,301921,96967
144100,302343,97066
144200,302795,97171
144300,303255,97289
144400,303664,97371
144500,304108,97477
144600,304538,97587
144700,304933,97673
144800,305393,97777
144900,305804,97876
145000,306213,97976
145100,306615,98076
145200,307058,98176
145300,307529,98284
145400,307978,98387
145500,308424,98485
145600,308862,98586
145700,309327,98699
145800,309793,98801
145900,310231,98896
146000,310653,98992
146100,311043,99090
146200,311470,99187
146300,311893,99294
146400,312296,99392
146500,312731,99495
146600,313167,99597
146700,313607,99699
146800,314008,99802
146900,314409,99904
147000,314831,100006
147100,315300,100112
147200,315744,100214
147300,316208,100322
147400,316647,100421
147500,317109,100524
147600,317542,100625
147700,317964,100721
147800,318384,100825
147900,318824,100934
148000,319281,101035
148100,319723,101134
148200,320173,101243
148300,320609,101338
148400,321051,101437
148500,321485,101538
148600,321894,101635
148700,322319,101734
148800,322748,101828
148900,323227,101945
149000,323673,102041
149100,324123,102142
149200,324580,102238
149300,325015,102338
149400,325506,102451
149500,325992,102560
149600,326420,102645
149700,326838,102744
149800,327296,102846
149900,327758,102957
150000,328222,103066
150100,328639,103157
150200,329124,103262
150300,329538,103359
150400,329930,103445
150500,330386,103557
150600,330855,103666
150700,331256,103759
150800,331696,103865
150900,332114,103960
151000,332554,104065
151100,332997,104169
151200,333432,104257
151300,333891,104372
151400,334352,104480
151500,334835,104597
151600,335271,104691
151700,335713,104789
151800,336152,104888
151900,336602,104992
152000,337050,105098
152100,337525,105205
152200,338010,105309
152300,338427,105402
152400,338841,105502
152500,339300,105605
152600,339760,105714
152700,340248,105815
152800,340730,105919
152900,341150,106007
153000,341594,106109
153100,342065,106219
153200,342523,106322
153300,342969,106425
153400,343414,106517
153500,343838,106619
153600,344259,106722
153700,344697,106822
153800,345161,106938
153900,345588,107031
154000,346037,107130
154100,346512,107230
154200,346945,107330
154300,347395,107435
154400,347851,107536
154500,348314,107635
154600,348764,107737
154700,349225,107841
154800,349675,107945
154900,350132,108040
155000,350575,108141
155100,351057,108239
155200,351549,108350
155300,351998,108446
155400,352446,108557
155500,352890,108644
155600,353303,108739
155700,353737,108839
155800,354192,108947
155900,354626,109049
156000,355067,109163
156100,355537,109264
156200,356021,109370
156300,356499,109470
156400,356972,109568
156500,357363,109655
156600,357836,109763
156700,358352,109880
156800,358863,109986
156900,359306,110079
157000,359730,110163
157100,360169,110264
157200,360614,110373
157300,361087,110479
157400,361547,110577
157500,361996,110680
157600,362407,110769
157700,362876,110878
157800,363371,110989
157900,363813,111086
158000,364234,111175
158100,364684,111278
158200,365150,111389
158300,365592,111477
158400,366050,111581
158500,366484,111674
158600,366916,111772
158700,367365,111879
158800,367779,111975
158900,368271,112077
159000,368787,112192
159100,369229,112290
159200,369707,112395
159300,370121,112483
159400,370643,112602
159500,371114,112705
159600,371577,112798
159700,372046,112904
159800,372515,113001
159900,372931,113098
160000,373384,113191
160100,373824,113294
160200,374266,113398
160300,374701,113507
160400,375161,113611
160500,375622,113710
160600,376080,113822
160700,376525,113922
160800,376991,114018
160900,377475,114123
161000,377922,114229
161100,378407,114332
161200,378884,114428
161300,379330,114530
161400,379793,114629
161500,380281,114742
161600,380748,114836
161700,381191,114936
161800,381655,115037
161900,382149,115146
162000,382613,115238
162100,383070,115335
162200,383519,115429
162300,383962,115530
162400,384436,115634
162500,384896,115737
162600,385351,115841
162700,385798,115930
